"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Revenue_Potencial","Tasa_Prom"
"Femenino","2019-01","Ejecutivo=0, Correos=0",2663,882,33.1205407435223,1.75166933397269,4499614.28313932,27.4367254975591,1063771471.89921,0.0175166933397269
"Femenino","2019-01","Ejecutivo=0, Correos=1",3104,1052,33.8917525773196,1.74476229763467,5021317.18009021,27.5544458762887,1416225009.61083,0.0174476229763467
"Femenino","2019-01","Ejecutivo=0, Correos=2",2724,906,33.2599118942731,1.74957938108795,4621321.70337739,27.5418502202643,1125299413.79181,0.0174957938108795
"Femenino","2019-01","Ejecutivo=0, Correos=3",6681,2201,32.944170034426,1.75186526101757,4602731.82203263,27.4358628947762,2715676097.50499,0.0175186526101757
"Femenino","2019-01","Ejecutivo=0, Correos=4",10936,3768,34.4550109729334,1.7514090138499,4769750.57955377,27.527615215801,4833178371.14309,0.017514090138499
"Femenino","2019-01","Ejecutivo=1, Correos=0",3427,1084,31.63116428363,1.73943664455779,6710016.97782317,27.4426612197257,1935529894.71111,0.0173943664455779
"Femenino","2019-01","Ejecutivo=1, Correos=1",3821,1189,31.1175085056268,1.75584590679675,5917585.54645381,27.4425543051557,1891180789.19802,0.0175584590679675
"Femenino","2019-01","Ejecutivo=1, Correos=2",23245,7417,31.9079371907937,1.74835280867286,6285062.46827275,27.4764465476447,12488606892.0245,0.0174835280867286
"Femenino","2019-02","Ejecutivo=0, Correos=0",2662,893,33.5462058602554,1.74816041904173,4682759.55897821,27.6679188580015,1128260408.93089,0.0174816041904173
"Femenino","2019-02","Ejecutivo=0, Correos=1",3144,1057,33.6195928753181,1.74117288931444,4522470.54898219,27.5143129770992,1276838625.39239,0.0174117288931444
"Femenino","2019-02","Ejecutivo=0, Correos=2",2587,876,33.8616157711635,1.74219641030577,4604463.47970622,27.3683803633552,1072124610.74687,0.0174219641030577
"Femenino","2019-02","Ejecutivo=0, Correos=3",6724,2265,33.6853063652588,1.74060194662714,4837421.85871505,27.3912849494349,2912030794.67676,0.0174060194662714
"Femenino","2019-02","Ejecutivo=0, Correos=4",10989,3702,33.6882336882337,1.74622279053946,4475505.37492037,27.4960414960415,4436184875.10733,0.0174622279053946
"Femenino","2019-02","Ejecutivo=1, Correos=0",3502,1070,30.5539691604797,1.76707075501887,6629465.28383781,27.5582524271845,1928093190.52894,0.0176707075501887
"Femenino","2019-02","Ejecutivo=1, Correos=1",3905,1240,31.7541613316261,1.74852225135993,6295971.58847631,27.5731113956466,2099368918.12569,0.0174852225135993
"Femenino","2019-02","Ejecutivo=1, Correos=2",23379,7456,31.8918687711194,1.75221251052121,6248005.42148937,27.4479661234441,12496270639.5315,0.0175221251052121
"Femenino","2019-03","Ejecutivo=0, Correos=0",2747,885,32.2169639606844,1.77327707445082,4811326.9945395,27.4903531124863,1158753418.78412,0.0177327707445082
"Femenino","2019-03","Ejecutivo=0, Correos=1",3061,1062,34.6945442665795,1.75810583346645,4570614.79581836,27.6007840574975,1314304824.91943,0.0175810583346645
"Femenino","2019-03","Ejecutivo=0, Correos=2",2661,842,31.6422397594889,1.73921959047289,4512376.03156708,27.7237880496054,1021645847.69481,0.0173921959047289
"Femenino","2019-03","Ejecutivo=0, Correos=3",6774,2354,34.750516681429,1.74638913676356,4596417.56451137,27.4378506052554,2890989615.53346,0.0174638913676356
"Femenino","2019-03","Ejecutivo=0, Correos=4",11060,3742,33.8336347197107,1.75131785562347,4710071.90244123,27.4742314647378,4729969066.66096,0.0175131785562347
"Femenino","2019-03","Ejecutivo=1, Correos=0",3453,1047,30.3214596003475,1.75454141330903,5840183.17694758,27.5971618882131,1651838630.13663,0.0175454141330903
"Femenino","2019-03","Ejecutivo=1, Correos=1",3950,1222,30.9367088607595,1.75460753943824,6831772.7764557,27.3736708860759,2236406269.20228,0.0175460753943824
"Femenino","2019-03","Ejecutivo=1, Correos=2",23244,7458,32.085699535364,1.74632477575577,6300021.68008949,27.4544398554466,12561464734.4058,0.0174632477575577
"Femenino","2019-04","Ejecutivo=0, Correos=0",2708,899,33.1979320531758,1.74762851184102,4476046.56351551,27.3209010339734,1071222957.24067,0.0174762851184102
"Femenino","2019-04","Ejecutivo=0, Correos=1",3124,1049,33.5787451984635,1.76186858576875,4764473.21542894,27.6562099871959,1359209205.15701,0.0176186858576875
"Femenino","2019-04","Ejecutivo=0, Correos=2",2616,875,33.4480122324159,1.74077508950013,4706513.86391437,27.5772171253823,1102340569.64925,0.0174077508950013
"Femenino","2019-04","Ejecutivo=0, Correos=3",6624,2224,33.5748792270531,1.74836541364806,4372439.45274758,27.2927234299517,2587111350.99785,0.0174836541364806
"Femenino","2019-04","Ejecutivo=0, Correos=4",10994,3686,33.5273785701292,1.74555375049295,4507675.76750955,27.4731671820993,4443099481.2062,0.0174555375049295
"Femenino","2019-04","Ejecutivo=1, Correos=0",3620,1140,31.4917127071823,1.74831015111768,5870675.82513812,27.5058011049724,1794894935.11763,0.0174831015111768
"Femenino","2019-04","Ejecutivo=1, Correos=1",3911,1265,32.3446688826387,1.74695612212773,6456900.32114549,27.5223727946817,2190141842.96351,0.0174695612212773
"Femenino","2019-04","Ejecutivo=1, Correos=2",23317,7527,32.2811682463439,1.75028859349225,6511966.07561007,27.435733584938,13126710216.7665,0.0175028859349225
"Femenino","2019-05","Ejecutivo=0, Correos=0",2608,868,33.2822085889571,1.76895722540745,4668079.08205521,27.3726993865031,1094895274.08683,0.0176895722540745
"Femenino","2019-05","Ejecutivo=0, Correos=1",3087,1081,35.0178166504697,1.73298432066538,4786086.66342728,27.5079365079365,1374668121.27885,0.0173298432066538
"Femenino","2019-05","Ejecutivo=0, Correos=2",2559,846,33.0597889800703,1.74391741449515,4894243.13130129,27.2129738178976,1095246699.02904,0.0174391741449515
"Femenino","2019-05","Ejecutivo=0, Correos=3",6770,2270,33.5302806499261,1.75539928786533,4638652.52525849,27.4045790251108,2825413133.89016,0.0175539928786533
"Femenino","2019-05","Ejecutivo=0, Correos=4",11022,3710,33.6599528216295,1.74907989053483,4651678.73924877,27.4347668299764,4618157006.93065,0.0174907989053483
"Femenino","2019-05","Ejecutivo=1, Correos=0",3450,1112,32.231884057971,1.75361233992926,6430335.55913043,27.3489855072464,1912557048.48121,0.0175361233992926
"Femenino","2019-05","Ejecutivo=1, Correos=1",3936,1291,32.7997967479675,1.7534064014102,6146292.24161585,27.4834857723577,2132907362.39818,0.017534064014102
"Femenino","2019-05","Ejecutivo=1, Correos=2",23325,7467,32.0128617363344,1.7467128939411,6388294.71729904,27.5436655948553,12798900414.3424,0.017467128939411
"Femenino","2019-06","Ejecutivo=0, Correos=0",2680,862,32.1641791044776,1.75068666137173,5389431.99813433,27.7992537313433,1261577599.53793,0.0175068666137173
"Femenino","2019-06","Ejecutivo=0, Correos=1",3064,980,31.9843342036554,1.75521445346298,4449125.59171018,27.3922976501305,1169267961.79057,0.0175521445346298
"Femenino","2019-06","Ejecutivo=0, Correos=2",2655,896,33.7476459510358,1.74500459896068,4403372.61205273,27.6090395480226,1060105719.51302,0.0174500459896068
"Femenino","2019-06","Ejecutivo=0, Correos=3",6678,2281,34.156933213537,1.74332341824593,4793574.11949685,27.5507637017071,2928465284.0981,0.0174332341824593
"Femenino","2019-06","Ejecutivo=0, Correos=4",10771,3654,33.9244267013276,1.7477342225004,4670637.45696778,27.517779221985,4577559232.93524,0.017477342225004
"Femenino","2019-06","Ejecutivo=1, Correos=0",3463,1117,32.2552699971123,1.7444678173883,6317252.04851285,27.3869477331793,1879550731.68976,0.017444678173883
"Femenino","2019-06","Ejecutivo=1, Correos=1",3842,1197,31.1556480999479,1.74987354634343,6652223.66840187,27.5676730869339,2142571550.72489,0.0174987354634343
"Femenino","2019-06","Ejecutivo=1, Correos=2",22934,7400,32.2665038807011,1.74969563035886,6247881.98883753,27.4530827592221,12385510118.8183,0.0174969563035886
"Femenino","2019-07","Ejecutivo=0, Correos=0",2761,940,34.0456356392611,1.73663749312688,5225988.24085476,27.4118073161898,1303432894.29056,0.0173663749312688
"Femenino","2019-07","Ejecutivo=0, Correos=1",3138,1047,33.3652007648184,1.74727240610844,4368423.50732951,27.3575525812619,1219007287.41783,0.0174727240610844
"Femenino","2019-07","Ejecutivo=0, Correos=2",2722,903,33.1741366642175,1.75647674898273,4510178.6098457,27.6146216017634,1102233566.93412,0.0175647674898273
"Femenino","2019-07","Ejecutivo=0, Correos=3",6803,2273,33.4117301190651,1.75209982216158,4476963.19462002,27.5421137733353,2739238625.26797,0.0175209982216158
"Femenino","2019-07","Ejecutivo=0, Correos=4",10981,3657,33.3029778708679,1.75418528094875,4368343.73026136,27.3405882888626,4272982364.79289,0.0175418528094874
"Femenino","2019-07","Ejecutivo=1, Correos=0",3441,1111,32.2871258355129,1.75907841152863,7312729.40569602,27.4539378087765,2188980183.81284,0.0175907841152863
"Femenino","2019-07","Ejecutivo=1, Correos=1",3824,1241,32.4529288702929,1.74390520278947,6577847.87866109,27.4767259414226,2180987270.88585,0.0174390520278947
"Femenino","2019-07","Ejecutivo=1, Correos=2",23266,7490,32.1928995100146,1.75078220981943,6384437.03292358,27.4850425513625,12834135799.8685,0.0175078220981943
"Femenino","2019-08","Ejecutivo=0, Correos=0",2683,917,34.1781587774879,1.76130376831975,4537331.35669027,27.4696235557212,1123215709.399,0.0176130376831975
"Femenino","2019-08","Ejecutivo=0, Correos=1",3095,1045,33.7641357027464,1.74107923118555,4877149.65363489,27.632633279483,1367341214.42501,0.0174107923118555
"Femenino","2019-08","Ejecutivo=0, Correos=2",2635,876,33.2447817836812,1.73487792355324,4444552.74193548,27.6330170777989,1040579805.62087,0.0173487792355324
"Femenino","2019-08","Ejecutivo=0, Correos=3",6675,2209,33.0936329588015,1.75598557992871,4525961.53947566,27.2805992509363,2671053944.52493,0.0175598557992871
"Femenino","2019-08","Ejecutivo=0, Correos=4",11131,3673,32.9979336986794,1.7460132991272,4530795.5135208,27.3774144281736,4435294477.43229,0.017460132991272
"Femenino","2019-08","Ejecutivo=1, Correos=0",3565,1121,31.4446002805049,1.75966767026789,6261536.03618513,27.2566619915849,1877759690.09921,0.0175966767026789
"Femenino","2019-08","Ejecutivo=1, Correos=1",3902,1213,31.0866222450026,1.75229950237719,6152839.41414659,27.6786263454639,2019603403.3525,0.0175229950237719
"Femenino","2019-08","Ejecutivo=1, Correos=2",23257,7352,31.6119877886228,1.74913800083832,6235771.85746227,27.4807584813175,12289979266.982,0.0174913800083832
"Femenino","2019-09","Ejecutivo=0, Correos=0",2785,993,35.6552962298025,1.74518832053473,4719753.01651706,27.2886894075404,1244268013.11528,0.0174518832053473
"Femenino","2019-09","Ejecutivo=0, Correos=1",3220,1070,33.2298136645963,1.74727128665141,4074408.82981366,27.4819875776398,1167422156.54333,0.0174727128665141
"Femenino","2019-09","Ejecutivo=0, Correos=2",2702,893,33.0495928941525,1.75819038168628,4498073.40488527,27.3704663212435,1078248767.02508,0.0175819038168628
"Femenino","2019-09","Ejecutivo=0, Correos=3",6912,2348,33.9699074074074,1.75514878454894,4646154.11183449,27.4995659722222,2937307801.38383,0.0175514878454894
"Femenino","2019-09","Ejecutivo=0, Correos=4",11058,3740,33.8216675709893,1.75542973886153,4603046.40992946,27.5601374570447,4646663388.75642,0.0175542973886153
"Femenino","2019-09","Ejecutivo=1, Correos=0",3527,1122,31.811738020981,1.74925293342709,6439133.235611,27.4380493337114,1933771754.12752,0.0174925293342709
"Femenino","2019-09","Ejecutivo=1, Correos=1",3821,1217,31.8503009683329,1.74680752861282,6167028.82753206,27.5485475006543,2014249141.32106,0.0174680752861282
"Femenino","2019-09","Ejecutivo=1, Correos=2",23065,7403,32.0962497290267,1.74940637061617,6205421.74519835,27.4642098417516,12309325353.6365,0.0174940637061617
"Femenino","2019-10","Ejecutivo=0, Correos=0",2630,896,34.0684410646388,1.74336283210212,4766754.29581749,27.4703422053232,1140457515.32341,0.0174336283210212
"Femenino","2019-10","Ejecutivo=0, Correos=1",3152,1069,33.9149746192893,1.74404504775409,4818002.80869289,27.6392766497462,1384645048.43833,0.0174404504775409
"Femenino","2019-10","Ejecutivo=0, Correos=2",2733,934,34.1748993779729,1.74376098446775,4365827.86022686,27.4288327844859,1087392856.42464,0.0174376098446775
"Femenino","2019-10","Ejecutivo=0, Correos=3",6744,2217,32.873665480427,1.7459972845242,4761037.54611506,27.3987247924081,2815403675.67668,0.017459972845242
"Femenino","2019-10","Ejecutivo=0, Correos=4",11129,3713,33.3632851109713,1.75396818273354,4649512.52250876,27.5090304609579,4646571301.61923,0.0175396818273354
"Femenino","2019-10","Ejecutivo=1, Correos=0",3555,1126,31.6736990154712,1.74031676259755,6141698.29929676,27.2393811533052,1827091074.31272,0.0174031676259755
