Cluster,Best_Price
0,1.1703031721214279
1,1.2612464521508924
2,1.199302707195822
3,1.2181608537293658
4,1.1504753701303492
5,1.205197700755324
6,1.1364749090492576
7,1.3032090803980823
8,1.201070549258378
9,1.135901569131391
10,1.203582424423351
11,1.159011754341067
12,1.1829507246348232
13,1.1872357165623582
14,1.143419968523422
15,1.1357221690398278
16,1.2112044360718632
17,1.1507869068034633
18,1.0828950969892341
19,1.0979927679238135
20,1.0829217227295498
21,1.0904468394431583
22,1.0980665813044028
23,1.090480767591223
24,1.0904879507052665
25,1.0980287752029543
26,1.090464309973251
27,1.0829163449973045
28,1.0979959314561298
29,1.082913645314712
30,1.0904501860417772
31,1.1055432550343336
32,1.0904492294382877
33,1.0904627663379547
34,1.0979993807527955
35,1.0829126644163112
36,1.1055600054655774
37,1.0829159289259223
38,1.0829349509254216
39,1.1055566904826728
40,1.0980084004081088
41,1.090452346992997
42,1.097997902010024
43,1.0979975511939044
44,1.0829160380648906
45,1.1131441596618163
46,1.0904492381762052
47,1.082918043483737
48,1.1206038436278938
49,1.0979837083783968
50,1.0904481493794154
51,1.1131044517334279
52,1.0904827955073622
53,1.0904538501553942
54,1.1281154221593492
55,1.2338532775270306
56,1.1586275671809636
57,1.1382704244001924
58,1.2146315917152628
59,1.1818254422666619
60,1.1284095338163669
61,1.1602557094257875
62,1.1935338589268332
63,1.1133578961606687
64,1.1733028586629761
65,1.1356977502746082
66,1.1205485572944864
67,1.1737787256451098
68,1.1207807971326529
69,1.128117931555146
70,1.15083476814855
71,1.128197978111837
72,1.0829467767854513
73,1.0904490496364059
74,1.0829235573554599
75,1.090460127286289
76,1.0979938692745532
77,1.0829182528558983
78,1.0905088057306118
79,1.0980073017390124
80,1.0829214666356735
81,1.0829331094231969
82,1.0980054660900325
83,1.0829427800963978
84,1.09045847623428
85,1.0979981678367718
86,1.0904527788930076
87,1.082923899283006
88,1.1055237874674044
89,1.0829166629105942
90,1.1057076330421938
91,1.0979924433628412
92,1.0904556340751665
93,1.1130740972643678
94,1.113073989975612
95,1.0979886795952394
96,1.1130751981282954
97,1.0979944886651185
98,1.1055367449893971
99,1.1130587343811242
100,1.090490000471068
101,1.0904859516913799
102,1.12073735751716
103,1.1055408296862064
104,1.1055049267204848
105,1.1281638370404992
106,1.105531418704448
107,1.0979890038226083
