categoria_clusterizacion_numerica,probabilidad_aceptacion_optima,tasa_optima,Monto_Simulado_mean,Plazo_Simulado_mean,Plazo_Simulado_min,Plazo_Simulado_max,Plazo_Simulado_mode
0,0.4014745412718536,2.4999992582479926,526521.0709472679,27.48457269663682,7.0,52.0,30.0
4,0.7431107041307694,1.0000003281367162,1120980.2475997712,27.504648523530633,8.0,50.0,30.0
7,0.7432227835108909,1.0000022506598487,17984140.091758955,27.48819552677869,8.0,52.0,30.0
8,0.6131725366192692,1.376877712321951,673059.7742566745,27.508939487581156,8.0,50.0,30.0
6,0.7427518425777031,1.00000846688096,1039519.9001315502,27.485550043850033,8.0,49.0,30.0
9,0.6119214365732871,1.3768762820812288,5835016.453541114,27.53692625015446,7.0,51.0,30.0
1,0.40091222655794945,2.499999761070362,4649074.582127846,27.454646800544847,8.0,51.0,30.0
5,0.7431608696135081,1.00000207305562,7578011.997137674,27.525430498543713,8.0,50.0,30.0
11,0.6123106474761287,1.3783814441876863,17362187.463434204,27.495238705367154,8.0,50.0,30.0
10,0.6119083021818323,1.3768766587350352,756732.9366770299,27.49893013899049,8.0,49.0,30.0
3,0.3998173908856746,2.499994043293542,5164840.179462948,27.535599861703353,7.0,50.0,30.0
2,0.3984709989308393,2.499998377748687,583960.4673804282,27.496297778667202,8.0,50.0,30.0
