categoria_clusterizacion_numerica,probabilidad_aceptacion_optima,tasa_optima,Monto_Simulado_mean,Plazo_Simulado_mean,Plazo_Simulado_min,Plazo_Simulado_max,Plazo_Simulado_mode
101,0.49975654510897105,1.2612869362708985,2672066.3858797783,27.465434439442408,8.0,48.0,30.0
76,0.5523393699467327,1.2192166851627562,712403.6703460868,27.651124574653497,9.0,50.0,30.0
72,0.6249721204862626,1.075107469711302,24593376.508523308,27.51433888527031,9.0,49.0,30.0
82,0.47373200305254903,1.3738846514914513,761277.5537338635,27.501191513699002,8.0,48.0,31.0
52,0.4993320551121072,1.265790172043832,499737.2855963282,27.442591366574675,8.0,49.0,30.0
91,0.49641136702673344,1.3273285468325031,545212.1073462183,27.509346851944056,8.0,49.0,31.0
94,0.5091848494307454,1.3033114533400612,543829.0742317414,27.45784555008647,10.0,50.0,30.0
50,0.499233846469497,1.2522487326174006,2557276.7153218146,27.44612996161243,9.0,48.0,30.0
79,0.5526610021871621,1.217727968320099,689955.3665143411,27.446455772432603,8.0,50.0,30.0
29,0.4956946374520351,1.3093092820457186,4242997.012113596,27.50745341614907,8.0,50.0,30.0
26,0.5722794652787797,1.183196506463699,4089325.5273793363,27.620545815870766,8.0,50.0,31.0
84,0.5671169765666569,1.1636693491493895,28531990.814868793,27.44197238479114,8.0,49.0,30.0
107,0.49779779958675074,1.2522576962312073,2641195.9637540383,27.51590121177645,8.0,48.0,31.0
71,0.49271925885538465,1.3033948104697373,4398974.782461269,27.56533177433499,9.0,46.0,30.0
80,0.5597429203904442,1.192203073894274,4137472.8344529388,27.501556242066645,8.0,49.0,29.0
38,0.5036652476148519,1.3003191476936387,2315093.6765000583,27.472612347823183,8.0,50.0,29.0
43,0.4996071524042869,1.3273319773366037,523085.19964032195,27.480284196328498,9.0,48.0,30.0
24,0.6117621120463669,1.0856287886364862,22510340.466771338,27.39772881080642,8.0,50.0,30.0
22,0.5570296311280423,1.2132338295204035,700236.1168799555,27.55725761580192,8.0,47.0,30.0
44,0.5056040858494455,1.2988011192929716,2315304.200651228,27.49780352053991,9.0,50.0,31.0
