"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Tasa_Promedio_Ventas","Monto_Promedio_Ventas","Plazo_Promedio_Ventas","Tasa_Prom","Tasa_Prom_Ventas","Revenue_Potencial","Revenue_Potencial_Ventas","Tasa_Revenue"
"Chileno","2019-01","Ejecutivo=0, Correos=0",5761,1940,33.674709251866,1.7515468109298,5906810.79500087,27.4520048602673,1.55750639034094,5624991.69587629,27.4118556701031,0.017515468109298,0.0155750639034094,3073107112.44544,2578250164.43669,0.838971786565886
"Chileno","2019-01","Ejecutivo=0, Correos=1",6713,2239,33.3531952927156,1.7460064472795,5794257.75122896,27.4979889766125,1.55274832930972,4856942.4872711,27.5305940151854,0.017460064472795,0.0155274832930972,3473420871.97307,2572413278.24275,0.740599360992926
"Chileno","2019-01","Ejecutivo=0, Correos=2",5707,1883,32.9945680742947,1.75037126669296,5667998.87191169,27.6451725950587,1.57315779811422,5271187.34838024,27.3292618162507,0.0175037126669296,0.0157315779811422,2881061611.07388,2362789695.01612,0.820110783446737
"Chileno","2019-01","Ejecutivo=0, Correos=3",14558,4959,34.0637450199203,1.75310204209488,5649328.98179695,27.4705316664377,1.55508166324492,5360413.0907441,27.4664246823956,0.0175310204209488,0.0155508166324492,7525412832.11655,6282966034.29465,0.834899848614358
"Chileno","2019-01","Ejecutivo=0, Correos=4",23587,8007,33.9466655361004,1.75205543323125,5988974.56620172,27.4935345741298,1.56585601705094,5496381.37179968,27.5505182964906,0.0175205543323125,0.0156585601705094,12884320424.2898,10511750089.5031,0.815855997316406
"Chileno","2019-01","Ejecutivo=1, Correos=0",7727,2509,32.4705577843924,1.74070524954286,8053483.44558043,27.4609809757991,1.51330479079901,7507833.31287365,27.5520127540853,0.0174070524954286,0.0151330479079901,5384813337.3271,4339291807.34455,0.80583885373796
"Chileno","2019-01","Ejecutivo=1, Correos=1",8734,2781,31.8410808335242,1.74881251267628,7666468.09560339,27.5309136707122,1.5460737454188,6466267.24487594,27.6102121539015,0.0174881251267628,0.015460737454188,5725155177.17579,4247003917.69949,0.741814638427762
"Chileno","2019-01","Ejecutivo=1, Correos=2",51737,16610,32.1046833020855,1.75150658076678,7909979.76535168,27.443898950461,1.53149386267656,7259953.01824202,27.4921733895244,0.0175150658076678,0.0153149386267656,35222820810.6517,28070075077.467,0.796928651125475
"Chileno","2019-02","Ejecutivo=0, Correos=0",5680,1903,33.5035211267606,1.75198262841717,5562784.56514085,27.5985915492958,1.54288825953129,5248726.56857593,27.8812401471361,0.0175198262841717,0.0154288825953129,2855423852.23888,2377620163.81516,0.832668033486835
"Chileno","2019-02","Ejecutivo=0, Correos=1",6866,2367,34.4742207981357,1.74213168244257,5888051.32158462,27.3722691523449,1.53491679193492,4945930.60667512,27.2471482889734,0.0174213168244257,0.0153491679193492,3704919019.88717,2706536933.39153,0.730525260839291
