"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Tasa_Promedio_Ventas","Monto_Promedio_Ventas","Plazo_Promedio_Ventas","Tasa_Prom","Tasa_Prom_Ventas","Revenue_Potencial","Revenue_Potencial_Ventas","Tasa_Revenue"
"Alta","2019-01","Ejecutivo=0, Correos=0",1400,563,40.2142857142857,1.75147374031069,2918710.60357143,27.6428571428571,1.77354840924463,3010985.57015986,27.7282415630551,0.0175147374031069,0.0177354840924463,443840330.075744,465543210.637291,1.04889794615519
"Alta","2019-01","Ejecutivo=0, Correos=1",1693,677,39.9881866509155,1.75670535725167,3038990.8511518,27.629651506202,1.7650442368233,2893327.12703102,27.3663220088626,0.0175670535725167,0.017650442368233,557206462.369239,527918257.673619,0.94743742818221
"Alta","2019-01","Ejecutivo=0, Correos=2",1444,578,40.0277008310249,1.74005517477832,2841362.34072022,27.558864265928,1.75421901099675,2982371.66262976,27.1176470588235,0.0174005517477832,0.0175421901099675,439107280.898916,457193393.775327,1.04118836936474
"Alta","2019-01","Ejecutivo=0, Correos=3",3640,1455,39.9725274725275,1.7545377694241,2886245.71126374,27.5521978021978,1.75278585213325,2765698.14776632,27.5381443298969,0.017545377694241,0.0175278585213325,1132542263.14717,1083506694.63121,0.956703100527389
"Alta","2019-01","Ejecutivo=0, Correos=4",5848,2334,39.9110807113543,1.75368422980356,3078490.04548564,27.4644322845417,1.76330992793344,3076851.13667524,27.3976006855184,0.0175368422980356,0.0176330992793344,1930332523.15582,1935735310.74676,1.00279888958308
"Alta","2019-01","Ejecutivo=1, Correos=0",1585,687,43.3438485804416,1.74183424913849,3154859.47823344,27.6700315457413,1.70158886673508,3044681.44978166,27.6681222707424,0.0174183424913849,0.0170158886673508,582562530.651726,548300836.770942,0.941187954806406
"Alta","2019-01","Ejecutivo=1, Correos=1",1913,791,41.3486670151594,1.75338632347299,3062389.30527967,27.874542603241,1.75805764005422,2968260.57648546,28.0151706700379,0.0175338632347299,0.0175805764005422,660750959.809888,645638644.630819,0.977128576274157
"Alta","2019-01","Ejecutivo=1, Correos=2",11035,4414,40,1.75100473487816,2943013.78985048,27.3342999546896,1.74974234605078,2921952.85160852,27.4238785681921,0.0175100473487815,0.0174974234605078,3467108362.25293,3451338920.57086,0.995451702100301
"Alta","2019-02","Ejecutivo=0, Correos=0",1441,572,39.6946564885496,1.76095875498757,3030833.21721027,27.5752949340736,1.75080621010156,3378934.51573427,27.520979020979,0.0176095875498757,0.0175080621010156,469777227.543904,519437638.409684,1.10571055375633
"Alta","2019-02","Ejecutivo=0, Correos=1",1672,704,42.1052631578947,1.740089471437,3068717.45394737,27.1525119617225,1.72781048306785,3011810.80681818,27.0411931818182,0.01740089471437,0.0172781048306785,568806319.47241,551698246.740352,0.969922850456502
