categoria_clusterizacion_numerica,probabilidad_simular,Tratamiento
30,0.01662975721784777,"Ejecutivo=1.0, Correos=1"
30,0.10331663087568599,"Ejecutivo=1.0, Correos=2"
78,0.00967690747006251,"Ejecutivo=0.0, Correos=0"
78,0.010867039574726128,"Ejecutivo=0.0, Correos=1"
78,0.008594453984392268,"Ejecutivo=0.0, Correos=2"
78,0.021683073487823817,"Ejecutivo=0.0, Correos=3"
78,0.0347433565125729,"Ejecutivo=0.0, Correos=4"
78,0.017633790684099267,"Ejecutivo=1.0, Correos=0"
78,0.019625845135476706,"Ejecutivo=1.0, Correos=1"
78,0.11500926602852916,"Ejecutivo=1.0, Correos=2"
19,0.016806667713403466,"Ejecutivo=0.0, Correos=0"
19,0.019354817606112944,"Ejecutivo=0.0, Correos=1"
19,0.01638470194169676,"Ejecutivo=0.0, Correos=2"
19,0.04269704820222955,"Ejecutivo=0.0, Correos=3"
19,0.0691435076150102,"Ejecutivo=0.0, Correos=4"
19,0.016476291411524572,"Ejecutivo=1.0, Correos=0"
19,0.018232846600722247,"Ejecutivo=1.0, Correos=1"
19,0.11184382686973361,"Ejecutivo=1.0, Correos=2"
83,0.01575949482266019,"Ejecutivo=0.0, Correos=0"
83,0.017494925230908197,"Ejecutivo=0.0, Correos=1"
83,0.01379245311111883,"Ejecutivo=0.0, Correos=2"
83,0.0345076026410306,"Ejecutivo=0.0, Correos=3"
83,0.0556222816691234,"Ejecutivo=0.0, Correos=4"
83,0.017559445522539914,"Ejecutivo=1.0, Correos=0"
83,0.01922539253979992,"Ejecutivo=1.0, Correos=1"
83,0.11168793354740836,"Ejecutivo=1.0, Correos=2"
89,0.010919280380843794,"Ejecutivo=0.0, Correos=0"
89,0.012068462765835454,"Ejecutivo=0.0, Correos=1"
89,0.00970211357820829,"Ejecutivo=0.0, Correos=2"
89,0.02461199736580859,"Ejecutivo=0.0, Correos=3"
89,0.039349872385876276,"Ejecutivo=0.0, Correos=4"
89,0.014870567497878559,"Ejecutivo=1.0, Correos=0"
89,0.016148346913835075,"Ejecutivo=1.0, Correos=1"
89,0.09491771428196988,"Ejecutivo=1.0, Correos=2"
75,0.0054928782570309405,"Ejecutivo=0.0, Correos=0"
75,0.006054459401315385,"Ejecutivo=0.0, Correos=1"
75,0.005244217949362703,"Ejecutivo=0.0, Correos=2"
75,0.012430221447370627,"Ejecutivo=0.0, Correos=3"
75,0.02010795768863259,"Ejecutivo=0.0, Correos=4"
75,0.014497734117870574,"Ejecutivo=1.0, Correos=0"
75,0.016411580306103634,"Ejecutivo=1.0, Correos=1"
75,0.09269162210338681,"Ejecutivo=1.0, Correos=2"
104,0.00630228667038483,"Ejecutivo=0.0, Correos=0"
104,0.0072480944413459755,"Ejecutivo=0.0, Correos=1"
104,0.0056376649934932145,"Ejecutivo=0.0, Correos=2"
104,0.014414854062093327,"Ejecutivo=0.0, Correos=3"
104,0.023519706265105036,"Ejecutivo=0.0, Correos=4"
104,0.011647146309722996,"Ejecutivo=1.0, Correos=0"
104,0.012948503439300985,"Ejecutivo=1.0, Correos=1"
104,0.0751928797174196,"Ejecutivo=1.0, Correos=2"
47,0.016141541444498305,"Ejecutivo=0.0, Correos=0"
47,0.01931726376709411,"Ejecutivo=0.0, Correos=1"
47,0.015834545160769105,"Ejecutivo=0.0, Correos=2"
47,0.041468000411286884,"Ejecutivo=0.0, Correos=3"
47,0.06811498406263312,"Ejecutivo=0.0, Correos=4"
47,0.016902422185989807,"Ejecutivo=1.0, Correos=0"
47,0.019110151441707426,"Ejecutivo=1.0, Correos=1"
47,0.1155275488770399,"Ejecutivo=1.0, Correos=2"
86,0.006056745588151371,"Ejecutivo=0.0, Correos=0"
86,0.006772611458553632,"Ejecutivo=0.0, Correos=1"
86,0.005741193926637596,"Ejecutivo=0.0, Correos=2"
86,0.014350047500595856,"Ejecutivo=0.0, Correos=3"
86,0.023351662185161687,"Ejecutivo=0.0, Correos=4"
86,0.011973339241534655,"Ejecutivo=1.0, Correos=0"
86,0.013328700766387706,"Ejecutivo=1.0, Correos=1"
86,0.07766431345693559,"Ejecutivo=1.0, Correos=2"
34,0.011349430203845478,"Ejecutivo=0.0, Correos=0"
34,0.014100259326989637,"Ejecutivo=0.0, Correos=1"
34,0.011816942007872795,"Ejecutivo=0.0, Correos=2"
34,0.031682319271818075,"Ejecutivo=0.0, Correos=3"
34,0.052307080350039774,"Ejecutivo=0.0, Correos=4"
34,0.01440762896610152,"Ejecutivo=1.0, Correos=0"
34,0.016104619326576367,"Ejecutivo=1.0, Correos=1"
34,0.09735610451600905,"Ejecutivo=1.0, Correos=2"
88,0.011337894423723772,"Ejecutivo=0.0, Correos=0"
88,0.012468632969513916,"Ejecutivo=0.0, Correos=1"
88,0.010067958721369242,"Ejecutivo=0.0, Correos=2"
88,0.025091717578503384,"Ejecutivo=0.0, Correos=3"
88,0.040197469281285036,"Ejecutivo=0.0, Correos=4"
88,0.01405509919227513,"Ejecutivo=1.0, Correos=0"
88,0.01527164420444058,"Ejecutivo=1.0, Correos=1"
88,0.08992326995095684,"Ejecutivo=1.0, Correos=2"
73,0.016777333758781193,"Ejecutivo=0.0, Correos=0"
73,0.01833984167261787,"Ejecutivo=0.0, Correos=1"
73,0.014594381049336757,"Ejecutivo=0.0, Correos=2"
73,0.03605417369415364,"Ejecutivo=0.0, Correos=3"
73,0.058139475990052626,"Ejecutivo=0.0, Correos=4"
73,0.016336691332512827,"Ejecutivo=1.0, Correos=0"
73,0.01751680265803615,"Ejecutivo=1.0, Correos=1"
73,0.10284189040665724,"Ejecutivo=1.0, Correos=2"
41,0.006307264480181839,"Ejecutivo=0.0, Correos=0"
41,0.008648130827022297,"Ejecutivo=0.0, Correos=1"
41,0.007970511621357954,"Ejecutivo=0.0, Correos=2"
41,0.021447465025294432,"Ejecutivo=0.0, Correos=3"
41,0.035874845367045834,"Ejecutivo=0.0, Correos=4"
41,0.01120020316004385,"Ejecutivo=1.0, Correos=0"
41,0.012702531454605799,"Ejecutivo=1.0, Correos=1"
41,0.0785723983948345,"Ejecutivo=1.0, Correos=2"
40,0.006204464244280477,"Ejecutivo=0.0, Correos=0"
