categoria_clusterizacion_numerica,Monto_Simulado_mean,Plazo_Simulado_mean,probabilidad_aceptacion_optima,tasa_optima
101,2672066.3858797783,27.465434439442408,0.49975654510897105,1.2612869362708985
76,712403.6703460868,27.651124574653497,0.5523393699467327,1.2192166851627562
72,24593376.508523308,27.51433888527031,0.6249721204862626,1.075107469711302
82,761277.5537338635,27.501191513699002,0.47373200305254903,1.3738846514914513
52,499737.2855963282,27.442591366574675,0.4993320551121072,1.265790172043832
91,545212.1073462183,27.509346851944056,0.49641136702673344,1.3273285468325031
94,543829.0742317414,27.45784555008647,0.5091848494307454,1.3033114533400612
50,2557276.7153218146,27.44612996161243,0.499233846469497,1.2522487326174006
79,689955.3665143411,27.446455772432603,0.5526610021871621,1.217727968320099
29,4242997.012113596,27.50745341614907,0.4956946374520351,1.3093092820457186
26,4089325.5273793363,27.620545815870766,0.5722794652787797,1.183196506463699
84,28531990.814868793,27.44197238479114,0.5671169765666569,1.1636693491493895
107,2641195.9637540383,27.51590121177645,0.49779779958675074,1.2522576962312073
71,4398974.782461269,27.56533177433499,0.49271925885538465,1.3033948104697373
80,4137472.8344529388,27.501556242066645,0.5597429203904442,1.192203073894274
38,2315093.6765000583,27.472612347823183,0.5036652476148519,1.3003191476936387
43,523085.19964032195,27.480284196328498,0.4996071524042869,1.3273319773366037
24,22510340.466771338,27.39772881080642,0.6117621120463669,1.0856287886364862
22,700236.1168799555,27.55725761580192,0.5570296311280423,1.2132338295204035
44,2315304.200651228,27.49780352053991,0.5056040858494455,1.2988011192929716
102,11049912.034593,27.34470038527748,0.537463170474422,1.1637637581082194
35,4265037.921845416,27.568936397173207,0.49628353485487264,1.3078075546090298
33,24506762.71514194,27.518352686130456,0.5649495593594026,1.1666888399473032
95,2314930.9314133576,27.439630240289752,0.4948552806460374,1.304801034567804
106,510591.53160347865,27.458847268800092,0.5045000158474594,1.2567667410799108
30,25082738.840711307,27.593660499682287,0.5645513596724081,1.1666741667439071
78,24348206.103881713,27.40741314397369,0.6187602205203188,1.0871171100512629
19,701876.0465820867,27.657009404784446,0.5584408428576172,1.2162196434686021
83,4327159.717981165,27.56610237223741,0.4953738951544333,1.3108219874917233
89,4354993.8290236285,27.452517194048966,0.49146172530221915,1.313815307356962
75,24813463.677696098,27.504644963244203,0.6181982907162774,1.084108929112179
104,2644862.398625633,27.60430674446847,0.50035519539754,1.2537413432359235
47,2627535.725680568,27.426653815412102,0.5008553218638455,1.2537571085143102
86,4327878.097126112,27.51085415535751,0.4975978352646677,1.3078077511658421
34,756275.8516640747,27.6114256091239,0.46770406304229134,1.3843946827405977
88,747661.5233272803,27.45652325743819,0.47443711973564073,1.3633614561138998
73,694680.4337066686,27.37624432551465,0.5567828461808699,1.2222336462012493
41,2324933.0205099625,27.47059390136504,0.5029676898936126,1.3018013869579836
40,532697.8198896548,27.408767467042505,0.49603960615311155,1.3288425731443638
20,4123086.7527015046,27.47685339372544,0.5647780365576727,1.1876983680673674
77,4143811.821144846,27.475715028601144,0.5643546144062798,1.186191274172601
37,522257.1113244695,27.50127609926837,0.5012783465057877,1.325828314531135
42,13234187.249431534,27.464782873939328,0.5828371902326167,1.0976258538698234
31,758816.896718726,27.58265991151307,0.48693679291275016,1.340844380572556
49,496908.2251476844,27.545998824502156,0.5023934147750097,1.2612729878666378
87,28428921.380848475,27.54124652594345,0.5744427226973119,1.1576672661720582
98,2399510.002285465,27.46548568502309,0.5063257382165108,1.2867957089033708
46,505540.1442192805,27.4552412724326,0.5016445756510146,1.2612607906991906
25,709981.0881030438,27.443780694820592,0.5601479684744946,1.2087102196067523
90,13870671.935099624,27.444267975743575,0.6083529527763974,1.0647851724940416
21,22805996.38263789,27.624495976938093,0.6111576642355045,1.0855876389679615
28,765512.123029585,27.58785829466548,0.4674384305056621,1.3843840908717522
18,22852242.00183262,27.36602234051837,0.6239133312138095,1.0811117492681441
97,548529.309222702,27.533158544108574,0.504126713225272,1.3228220059629157
81,28335822.00891681,27.504431708966646,0.5699424713395117,1.1696849811679026
32,4322604.23994923,27.472366743101414,0.4988823223293032,1.30030180631723
74,4125397.2395970253,27.47987628772201,0.5687168342557548,1.1891900247349534
53,2590823.82035834,27.530862903976903,0.49926645911892475,1.2537551577385964
23,4112640.216838044,27.39998761127728,0.5694087674878392,1.1877162364172074
27,25016835.19739753,27.536093117179256,0.5654866978631666,1.1726745767799798
70,763774.8315581854,27.802366863905327,0.44782517062253807,1.4279848512047413
103,503807.00589240826,27.587551533433885,0.5034270994054316,1.2522640441813566
96,13500503.830503782,27.29410407824322,0.5991369067604442,1.075226395879311
92,2398568.545598754,27.499370574923415,0.502195543720673,1.2972946065566875
85,758724.2378017337,27.57377894555902,0.47808631893897785,1.3573664414285043
65,4411555.9920816,27.812597861584575,0.48709886244681794,1.318319094983491
63,29691630.814008635,27.379096491761416,0.5624791005850281,1.1819588200868933
36,13526517.458344014,27.459346088415558,0.592833058971661,1.0780969855254687
12,33628175.9286193,27.424932975871315,0.5885773695229614,1.1443628717562304
51,11297123.6155454,27.674637758174796,0.5315125618394164,1.186252392368931
100,503175.9786028147,27.522341803052495,0.5048899916821702,1.253782334402982
67,765338.8487229863,27.67013752455796,0.4562299395968876,1.3591906997308667
